|description|coarse_grained_pos|fine_grained_pos
544| A unhappy toddler in a blue jacket sitting on the hot sand .|DET ADJ NOUN ADP DET ADJ NOUN VERB ADP DET ADJ NOUN PUNCT|DT JJ NN IN DT JJ NN VBG IN DT JJ NN .
545| There are two men in yellow vests working in a large green filed .|PRON VERB NUM NOUN ADP ADJ NOUN VERB ADP DET ADJ NOUN VERB PUNCT|EX VBP CD NNS IN JJ NNS VBG IN DT JJ NN VBN .
546| Rear view of dark-skinned woman walking on sidewalk near artwork that is on display .|ADJ NOUN ADP ADJ ADJ NOUN VERB ADP NOUN ADP NOUN PRON AUX ADP NOUN PUNCT|JJ NN IN JJ JJ NN VBG IN NN IN NN WDT VBZ IN NN .
547| A family walks through a gravel field under high built wooden structures .|DET NOUN VERB ADP DET NOUN NOUN ADP ADJ VERB ADJ NOUN PUNCT|DT NN VBZ IN DT NN NN IN JJ VBN JJ NNS .
548| A young group of people in bright colorful clothes dance on stage .|DET ADJ NOUN ADP NOUN ADP ADJ ADJ NOUN VERB ADP NOUN PUNCT|DT JJ NN IN NNS IN JJ JJ NNS VBP IN NN .
549| Three dogs are jumping up at the man waving a stick .|NUM NOUN AUX VERB ADP ADP DET NOUN VERB DET NOUN PUNCT|CD NNS VBP VBG RP IN DT NN VBG DT NN .
550| A man is holding a tool to stoke the coals on a large cooking fire outside .|DET NOUN AUX VERB DET NOUN PART VERB DET NOUN ADP DET ADJ NOUN NOUN ADV PUNCT|DT NN VBZ VBG DT NN TO VB DT NNS IN DT JJ NN NN RB .
551| A man with blond-hair is holding up a camera .|DET NOUN ADP ADJ NOUN AUX VERB ADP DET NOUN PUNCT|DT NN IN JJ NN VBZ VBG RP DT NN .
552| A young boy with a blue jacket holding a yellow wire .|DET ADJ NOUN ADP DET ADJ NOUN VERB DET ADJ NOUN PUNCT|DT JJ NN IN DT JJ NN VBG DT JJ NN .
553| A naked baby and toddler smear each other in paint .|DET ADJ NOUN CCONJ NOUN VERB DET ADJ ADP NOUN PUNCT|DT JJ NN CC NN VB DT JJ IN NN .
554| A single hiker with an orange backpack walks on a trail through a mountainous landscape .|DET ADJ NOUN ADP DET ADJ NOUN VERB ADP DET NOUN ADP DET ADJ NOUN PUNCT|DT JJ NN IN DT JJ NN VBZ IN DT NN IN DT JJ NN .
555| A man with a tan jacket is walking past a woman in a ponytail .|DET NOUN ADP DET NOUN NOUN AUX VERB ADP DET NOUN ADP DET NOUN PUNCT|DT NN IN DT NN NN VBZ VBG IN DT NN IN DT NN .
556| The pair in blue tops snap a picture while another woman walks by .|DET NOUN ADP ADJ NOUN VERB DET NOUN SCONJ DET NOUN VERB ADP PUNCT|DT NN IN JJ NNS VBP DT NN IN DT NN VBZ RP .
557| Five musicians holding their instruments pose for a photo in front of a backlit arch .|NUM NOUN VERB PRON NOUN VERB ADP DET NOUN ADP NOUN ADP DET ADJ NOUN PUNCT|CD NNS VBG PRP$ NNS VBP IN DT NN IN NN IN DT JJ NN .
558| A person working in a market selling various items .|DET NOUN VERB ADP DET NOUN VERB ADJ NOUN PUNCT|DT NN VBG IN DT NN VBG JJ NNS .
559| A woman in traditional dress and hat is sitting sideways on a horse .|DET NOUN ADP ADJ NOUN CCONJ NOUN AUX VERB ADV ADP DET NOUN PUNCT|DT NN IN JJ NN CC NN VBZ VBG RB IN DT NN .
560| A little girl holds out her hand to the men jogging down the street .|DET ADJ NOUN VERB ADP PRON NOUN ADP DET NOUN VERB ADP DET NOUN PUNCT|DT JJ NN VBZ RP PRP$ NN IN DT NNS VBG IN DT NN .
561| A man in an apron grabbing some cheese from a deli display .|DET NOUN ADP DET NOUN VERB DET NOUN ADP DET NOUN NOUN PUNCT|DT NN IN DT NN VBG DT NN IN DT NN NN .
562| People are walking along a sidewalk .|NOUN AUX VERB ADP DET NOUN PUNCT|NNS VBP VBG IN DT NN .
563| A little girl is running on the grass and smiling .|DET ADJ NOUN AUX VERB ADP DET NOUN CCONJ VERB PUNCT|DT JJ NN VBZ VBG IN DT NN CC VBG .
564| Two women are sitting on a ledge eating food .|NUM NOUN AUX VERB ADP DET NOUN VERB NOUN PUNCT|CD NNS VBP VBG IN DT NN VBG NN .
565| A sleeping child sucking on a pacifier .|DET VERB NOUN VERB ADP DET NOUN PUNCT|DT VBG NN VBG IN DT NN .
566| A woman smoking a cigarette talks to a woman in a black jacket .|DET NOUN VERB DET NOUN NOUN ADP DET NOUN ADP DET ADJ NOUN PUNCT|DT NN VBG DT NN NNS IN DT NN IN DT JJ NN .
567| People are sitting on grass , while watching a stage .|NOUN AUX VERB ADP NOUN PUNCT SCONJ VERB DET NOUN PUNCT|NNS VBP VBG IN NN , IN VBG DT NN .
568| A family playing on a tractor on a beautiful day|DET NOUN VERB ADP DET NOUN ADP DET ADJ NOUN|DT NN VBG IN DT NN IN DT JJ NN
569| a crowd of people outside .|DET NOUN ADP NOUN ADV PUNCT|DT NN IN NNS RB .
570| Four people wearing jackets in a large , plant-filled field .|NUM NOUN VERB NOUN ADP DET ADJ PUNCT NOUN VERB NOUN PUNCT|CD NNS VBG NNS IN DT JJ , NN VBN NN .
571| A man wearing a hawaiian shirt and leis speaks into a microphone .|DET NOUN VERB DET ADJ NOUN CCONJ PROPN VERB ADP DET NOUN PUNCT|DT NN VBG DT JJ NN CC NNP VBZ IN DT NN .
572| The men are in a rocky mountain area .|DET NOUN AUX ADP DET ADJ NOUN NOUN PUNCT|DT NNS VBP IN DT JJ NN NN .
573| A bunch of people are standing all around with a Ferris wheel and buildings in the background .|DET NOUN ADP NOUN AUX VERB ADV ADV ADP DET PROPN NOUN CCONJ NOUN ADP DET NOUN PUNCT|DT NN IN NNS VBP VBG RB RB IN DT NNP NN CC NNS IN DT NN .
574| A large brown dog with a blue collar is resting his chin on a man 's face .|DET ADJ ADJ NOUN ADP DET ADJ NOUN AUX VERB PRON NOUN ADP DET NOUN PART NOUN PUNCT|DT JJ JJ NN IN DT JJ NN VBZ VBG PRP$ NN IN DT NN POS NN .
575| A black woman singing into a mic .|DET ADJ NOUN VERB ADP DET NOUN PUNCT|DT JJ NN VBG IN DT NN .
576| A kid playing a Cricket game , possibly at preschool or at the park|DET NOUN VERB DET PROPN NOUN PUNCT ADV ADP NOUN CCONJ ADP DET NOUN|DT NN VBG DT NNP NN , RB IN NN CC IN DT NN
577| Three dogs walk together across a snowy field .|NUM NOUN VERB ADV ADP DET ADJ NOUN PUNCT|CD NNS VBP RB IN DT JJ NN .
578| A group of children in costumes are on a stage with red curtains .|DET NOUN ADP NOUN ADP NOUN AUX ADP DET NOUN ADP ADJ NOUN PUNCT|DT NN IN NNS IN NNS VBP IN DT NN IN JJ NNS .
579| A man and a Woman cutting dough .|DET NOUN CCONJ DET NOUN VERB NOUN PUNCT|DT NN CC DT NN VBG NN .
580| A kid is walking and he is pushing his toy|DET NOUN AUX VERB CCONJ PRON AUX VERB PRON NOUN|DT NN VBZ VBG CC PRP VBZ VBG PRP$ NN
581| A woman on vacation admiring the hills as she walks towards the woods .|DET NOUN ADP NOUN VERB DET NOUN SCONJ PRON VERB ADP DET NOUN PUNCT|DT NN IN NN VBG DT NNS IN PRP VBZ IN DT NNS .
582| Four older men are playing musical instruments in a park by a wall in traditional costume .|NUM ADJ NOUN AUX VERB ADJ NOUN ADP DET NOUN ADP DET NOUN ADP ADJ NOUN PUNCT|CD JJR NNS VBP VBG JJ NNS IN DT NN IN DT NN IN JJ NN .
583| A little girl in navy blue is posing on a railing .|DET ADJ NOUN ADP PROPN PROPN AUX VERB ADP DET NOUN PUNCT|DT JJ NN IN NNP NNP VBZ VBG IN DT NN .
584| Four children with hats smiling .|NUM NOUN ADP NOUN VERB PUNCT|CD NNS IN NNS VBG .
585| Police watch some punk rock types at a protest .|NOUN VERB DET NOUN NOUN NOUN ADP DET NOUN PUNCT|NNS VBP DT NN NN NNS IN DT NN .
586| A man is holding a dish of squid .|DET NOUN AUX VERB DET NOUN ADP NOUN PUNCT|DT NN VBZ VBG DT NN IN NN .
587| A girl poses on the train tracks near a station|DET NOUN VERB ADP DET NOUN NOUN ADP DET NOUN|DT NN VBZ IN DT NN NNS IN DT NN
588| a woman in black and white walks .|DET NOUN ADP ADJ CCONJ ADJ NOUN PUNCT|DT NN IN JJ CC JJ NNS .
589| Two women are wearing aprons and baking attire and cooking something in a kitchen .|NUM NOUN AUX VERB NOUN CCONJ VERB NOUN CCONJ VERB PRON ADP DET NOUN PUNCT|CD NNS VBP VBG NNS CC VBG NN CC VBG NN IN DT NN .
590| Two chefs are busy cooking in the kitchen .|NUM NOUN AUX ADJ VERB ADP DET NOUN PUNCT|CD NNS VBP JJ VBG IN DT NN .
591| A brown dog jumps over a wire fence and another dog follows him .|DET ADJ NOUN VERB ADP DET NOUN NOUN CCONJ DET NOUN VERB PRON PUNCT|DT JJ NN VBZ IN DT NN NN CC DT NN VBZ PRP .
592| A boy looking at how this historical place was constructed .|DET NOUN VERB ADP SCONJ DET ADJ NOUN AUX VERB PUNCT|DT NN VBG IN WRB DT JJ NN VBD VBN .
593| A man playing tennis jumped higher than a kite .|DET NOUN VERB NOUN VERB ADJ ADP DET NOUN PUNCT|DT NN VBG NN VBD JJR IN DT NN .
594| Man scaling an ice formation on a sunny day .|NOUN VERB DET NOUN NOUN ADP DET ADJ NOUN PUNCT|NN VBG DT NN NN IN DT JJ NN .
595| Two people in the surf as the wave covers them .|NUM NOUN ADP DET NOUN SCONJ DET NOUN VERB PRON PUNCT|CD NNS IN DT NN IN DT NN VBZ PRP .
596| Two females are enjoying themselves while eating outside .|NUM NOUN AUX VERB PRON SCONJ VERB ADV PUNCT|CD NNS VBP VBG PRP IN VBG RB .
597| Several people sit in chairs near a canyon .|ADJ NOUN VERB ADP NOUN ADP DET NOUN PUNCT|JJ NNS VBP IN NNS IN DT NN .
598| A man waterskies .|DET NOUN VERB PUNCT|DT NN VBZ .
599| Cars are taking an exit down the highway .|NOUN AUX VERB DET NOUN ADP DET NOUN PUNCT|NNS VBP VBG DT NN IN DT NN .
600| The little red dog is running a course in front of blue tents .|DET ADJ ADJ NOUN AUX VERB DET NOUN ADP NOUN ADP ADJ NOUN PUNCT|DT JJ JJ NN VBZ VBG DT NN IN NN IN JJ NNS .
601| An eccentric blond woman enjoys solitude in the park .|DET ADJ ADJ NOUN VERB NOUN ADP DET NOUN PUNCT|DT JJ JJ NN VBZ NN IN DT NN .
602| A guy is jumping and grabbing his foot with a house in the background .|DET NOUN AUX VERB CCONJ VERB PRON NOUN ADP DET NOUN ADP DET NOUN PUNCT|DT NN VBZ VBG CC VBG PRP$ NN IN DT NN IN DT NN .
603| Two men read directions outdoors .|NUM NOUN VERB NOUN ADV PUNCT|CD NNS VBD NNS RB .
604| A little boy in a blue jacket is running and being chased by a woman .|DET ADJ NOUN ADP DET ADJ NOUN AUX VERB CCONJ AUX VERB ADP DET NOUN PUNCT|DT JJ NN IN DT JJ NN VBZ VBG CC VBG VBN IN DT NN .
605| Surfer riding a huge wave .|PROPN VERB DET ADJ NOUN PUNCT|NNP VBG DT JJ NN .
606| A man working an office printer .|DET NOUN VERB DET NOUN NOUN PUNCT|DT NN VBG DT NN NN .
607| A guy is looking at the water .|DET NOUN AUX VERB ADP DET NOUN PUNCT|DT NN VBZ VBG IN DT NN .
608| A man is cliff rock climbing .|DET NOUN AUX NOUN NOUN NOUN PUNCT|DT NN VBZ NN NN NN .
609| Dirtbikers race on a muddy track .|NOUN VERB ADP DET ADJ NOUN PUNCT|NNS VBP IN DT JJ NN .
610| A drummer sits behind a guitar player while they perform on stage .|DET NOUN VERB ADP DET NOUN NOUN SCONJ PRON VERB ADP NOUN PUNCT|DT NN VBZ IN DT NN NN IN PRP VBP IN NN .
611| A boys choir group is responding to gunshots fired during a ceremony .|DET NOUN PROPN NOUN AUX VERB ADP NOUN VERB ADP DET NOUN PUNCT|DT NNS NNP NN VBZ VBG IN NNS VBN IN DT NN .
612| A man with a big red bowl is walking toward a brown donkey .|DET NOUN ADP DET ADJ ADJ NOUN AUX VERB ADP DET ADJ NOUN PUNCT|DT NN IN DT JJ JJ NN VBZ VBG IN DT JJ NN .
613| A man wearing a blue sweater and a tan sock hat is smoking a cigarette .|DET NOUN VERB DET ADJ NOUN CCONJ DET PROPN PROPN PROPN AUX VERB DET NOUN PUNCT|DT NN VBG DT JJ NN CC DT NNP NNP NNP VBZ VBG DT NN .
614| A lone person walking along the crest of a large sand dune .|DET ADJ NOUN VERB ADP DET NOUN ADP DET ADJ NOUN NOUN PUNCT|DT JJ NN VBG IN DT NN IN DT JJ NN NN .
615| A man wearing military attire is looking at the gun he has just thrown in the air .|DET NOUN VERB ADJ NOUN AUX VERB ADP DET NOUN PRON AUX ADV VERB ADP DET NOUN PUNCT|DT NN VBG JJ NN VBZ VBG IN DT NN PRP VBZ RB VBN IN DT NN .
616| A man and a woman are running and jumping on top of a hill .|DET NOUN CCONJ DET NOUN AUX VERB CCONJ VERB ADP NOUN ADP DET NOUN PUNCT|DT NN CC DT NN VBP VBG CC VBG IN NN IN DT NN .
617| In the kitchen of a fancy restaurant , a fine dish has been prepared by the staff .|ADP DET NOUN ADP DET ADJ NOUN PUNCT DET ADJ NOUN AUX AUX VERB ADP DET NOUN PUNCT|IN DT NN IN DT JJ NN , DT JJ NN VBZ VBN VBN IN DT NN .
618| Three young men are giving the thumbs up sign while grilling sausages on a small barbecue .|NUM ADJ NOUN AUX VERB DET NOUN ADP NOUN SCONJ VERB NOUN ADP DET ADJ NOUN PUNCT|CD JJ NNS VBP VBG DT NNS IN NN IN VBG NNS IN DT JJ NN .
619| Mother and son underneath an umbrella|NOUN CCONJ NOUN ADP DET NOUN|NN CC NN IN DT NN
620| A female tennis player wearing orange in the middle of a tennis match .|DET ADJ NOUN NOUN VERB NOUN ADP DET NOUN ADP DET NOUN NOUN PUNCT|DT JJ NN NN VBG NN IN DT NN IN DT NN NN .
621| A person sits inside a small plane on the ground .|DET NOUN VERB ADP DET ADJ NOUN ADP DET NOUN PUNCT|DT NN VBZ IN DT JJ NN IN DT NN .
622| People are strolling around a market .|NOUN AUX VERB ADP DET NOUN PUNCT|NNS VBP VBG IN DT NN .
623| 3 men on stage wearing black shirts , one with long hair is playing the trumpet .|NUM NOUN ADP NOUN VERB ADJ NOUN PUNCT NUM ADP ADJ NOUN AUX VERB DET NOUN PUNCT|CD NNS IN NN VBG JJ NNS , CD IN JJ NN VBZ VBG DT NN .
624| A man in a green sweatshirt running .|DET NOUN ADP DET ADJ NOUN VERB PUNCT|DT NN IN DT JJ NN VBG .
625| A group of young boys playing football in full pads and uniforms .|DET NOUN ADP ADJ NOUN VERB NOUN ADP ADJ NOUN CCONJ NOUN PUNCT|DT NN IN JJ NNS VBG NN IN JJ NNS CC NNS .
626| A man and a woman next to some yellow taxis .|DET NOUN CCONJ DET NOUN ADJ ADP DET ADJ NOUN PUNCT|DT NN CC DT NN JJ IN DT JJ NNS .
627| A man lying in a hospital bed .|DET NOUN VERB ADP DET NOUN NOUN PUNCT|DT NN VBG IN DT NN NN .
628| Several travelers either standing or sitting on what appears to be a subway car .|ADJ NOUN CCONJ VERB CCONJ VERB ADP PRON VERB PART AUX DET NOUN NOUN PUNCT|JJ NNS CC VBG CC VBG IN WP VBZ TO VB DT NN NN .
629| a man is on stage with a microphone .|DET NOUN AUX ADP NOUN ADP DET NOUN PUNCT|DT NN VBZ IN NN IN DT NN .
630| A woman in white directs a group of young people making a pattern with sticks .|DET NOUN ADP ADJ VERB DET NOUN ADP ADJ NOUN VERB DET NOUN ADP NOUN PUNCT|DT NN IN JJ VBZ DT NN IN JJ NNS VBG DT NN IN NNS .
631| A shirtless street performer plays his improvised drums .|DET NOUN NOUN NOUN VERB PRON VERB NOUN PUNCT|DT NN NN NN VBZ PRP$ VBN NNS .
632| A group of young men dressed in red walk past a tour bus .|DET NOUN ADP ADJ NOUN VERB ADP ADJ NOUN ADP DET NOUN NOUN PUNCT|DT NN IN JJ NNS VBN IN JJ NN IN DT NN NN .
633| a family standing in a rock cave with some of their belongings in the background|DET NOUN VERB ADP DET NOUN NOUN ADP PRON ADP PRON NOUN ADP DET NOUN|DT NN VBG IN DT NN NN IN DT IN PRP$ NNS IN DT NN
634| A woman in a green skirt and pink underskirt leans back as she kneels .|DET NOUN ADP DET ADJ NOUN CCONJ VERB ADJ NOUN ADV SCONJ PRON VERB PUNCT|DT NN IN DT JJ NN CC VB JJ NNS RB IN PRP VBZ .
635| A little girl in a flower swimsuit running across the beach with waves in the background .|DET ADJ NOUN ADP DET NOUN NOUN VERB ADP DET NOUN ADP NOUN ADP DET NOUN PUNCT|DT JJ NN IN DT NN NN VBG IN DT NN IN NNS IN DT NN .
636| A black-haired female walking past a bus stop with a foreign movie add .|DET ADJ ADJ ADJ NOUN ADP DET NOUN NOUN ADP DET ADJ NOUN VERB PUNCT|DT JJ JJ JJ NN IN DT NN NN IN DT JJ NN VBP .
637| A man and a woman riding on an escalator making eye contact .|DET NOUN CCONJ DET NOUN VERB ADP DET NOUN VERB NOUN NOUN PUNCT|DT NN CC DT NN VBG IN DT NN VBG NN NN .
638| two players on a field fighting each other .|NUM NOUN ADP DET NOUN VERB DET ADJ PUNCT|CD NNS IN DT NN VBG DT JJ .
639| Man in denim hat wearing dark sunglasses .|NOUN ADP PROPN NOUN VERB ADJ NOUN PUNCT|NN IN NNP NN VBG JJ NNS .
640| a big dog stiffing a smaller dog near the edge of a river .|DET ADJ NOUN VERB DET ADJ NOUN ADP DET NOUN ADP DET NOUN PUNCT|DT JJ NN VBG DT JJR NN IN DT NN IN DT NN .
641| Man with black backwards baseball cap in market .|NOUN ADP ADJ ADV NOUN NOUN ADP NOUN PUNCT|NN IN JJ RB NN NN IN NN .
642| Two ladies are talking excitedly .|NUM NOUN AUX VERB ADV PUNCT|CD NNS VBP VBG RB .
643| Some young men racing on a beach .|DET ADJ NOUN VERB ADP DET NOUN PUNCT|DT JJ NNS VBG IN DT NN .
644| A man with sunglasses on top of his head is taking a drink from a glass .|DET NOUN ADP NOUN ADP NOUN ADP PRON NOUN AUX VERB DET NOUN ADP DET NOUN PUNCT|DT NN IN NNS IN NN IN PRP$ NN VBZ VBG DT NN IN DT NN .
645| Young Asian men are raising their styrofoam cups in a toast .|ADJ ADJ NOUN AUX VERB PRON NOUN NOUN ADP DET NOUN PUNCT|JJ JJ NNS VBP VBG PRP$ NN NNS IN DT NN .
646| A woman in Asia looking at something .|DET NOUN ADP PROPN VERB ADP PRON PUNCT|DT NN IN NNP VBG IN NN .
647| Children getting sprayed by water in a parking lot .|NOUN AUX VERB ADP NOUN ADP DET NOUN NOUN PUNCT|NNS VBG VBN IN NN IN DT NN NN .
648| Balding man in white shirt sitting in bus stop .|VERB NOUN ADP ADJ NOUN VERB ADP NOUN NOUN PUNCT|VBG NN IN JJ NN VBG IN NN NN .
649| An Asian man looking at something .|DET ADJ NOUN VERB ADP PRON PUNCT|DT JJ NN VBG IN NN .
650| The couple is out to eat and having a good time .|DET NOUN AUX ADV PART VERB CCONJ VERB DET ADJ NOUN PUNCT|DT NN VBZ RB TO VB CC VBG DT JJ NN .
651| An Asian couple are getting married while four people spectate .|DET ADJ NOUN AUX VERB ADJ SCONJ NUM NOUN VERB PUNCT|DT JJ NN VBP VBG JJ IN CD NNS VBP .
652| A baseball player at bat and a catcher get ready for the pitch .|DET NOUN NOUN ADP NOUN CCONJ DET NOUN VERB ADJ ADP DET NOUN PUNCT|DT NN NN IN NN CC DT NN VBP JJ IN DT NN .
653| A black and white dog walks in the snow .|DET ADJ CCONJ ADJ NOUN VERB ADP DET NOUN PUNCT|DT JJ CC JJ NN VBZ IN DT NN .
654| A guy is skateboarding of a metal staircase .|DET NOUN AUX VERB ADP DET NOUN NOUN PUNCT|DT NN VBZ VBG IN DT NN NN .
655| A man standing on the beach , with a red bucket on his head .|DET NOUN VERB ADP DET NOUN PUNCT ADP DET ADJ NOUN ADP PRON NOUN PUNCT|DT NN VBG IN DT NN , IN DT JJ NN IN PRP$ NN .
656| People walk down the street on a sunny day .|NOUN VERB ADP DET NOUN ADP DET ADJ NOUN PUNCT|NNS VBP IN DT NN IN DT JJ NN .
657| The Man is outside on the beach walking his dog .|DET PROPN AUX ADV ADP DET NOUN VERB PRON NOUN PUNCT|DT NNP VBZ RB IN DT NN VBG PRP$ NN .
658| A dog is hosed as it jumps into a kiddie pool .|DET NOUN AUX VERB SCONJ PRON VERB ADP DET ADJ NOUN PUNCT|DT NN VBZ VBN IN PRP VBZ IN DT JJ NN .
659| A boy jumps off a swing on the swing set when its high enough .|DET NOUN VERB ADP DET NOUN ADP DET NOUN VERB SCONJ PRON ADJ ADV PUNCT|DT NN VBZ RP DT NN IN DT NN VBN WRB PRP$ JJ RB .
660| Two people are climbing a big rock .|NUM NOUN AUX VERB DET ADJ NOUN PUNCT|CD NNS VBP VBG DT JJ NN .
661| A boy is diving off a diving board into a swimming pool .|DET NOUN AUX VERB ADP DET NOUN NOUN ADP DET NOUN NOUN PUNCT|DT NN VBZ VBG RP DT NN NN IN DT NN NN .
662| A woman lassos cattle while rider a horse .|DET NOUN VERB NOUN SCONJ VERB DET NOUN PUNCT|DT NN VB NNS IN VB DT NN .
663| a guy on street watching someone .|DET NOUN ADP NOUN VERB PRON PUNCT|DT NN IN NN VBG NN .
664| One golfer prepares to putt while three other men chat on the green .|NUM NOUN VERB PART VERB SCONJ NUM ADJ NOUN VERB ADP DET NOUN PUNCT|CD NN VBZ TO VB IN CD JJ NNS VBP IN DT NN .
665| A child in a black t-shirt and board shorts jumping on a trampoline .|DET NOUN ADP DET ADJ NOUN NOUN CCONJ NOUN NOUN VERB ADP DET NOUN PUNCT|DT NN IN DT JJ NN NN CC NN NNS VBG IN DT NN .
666| A man and woman are sitting on a bench .|DET NOUN CCONJ NOUN AUX VERB ADP DET NOUN PUNCT|DT NN CC NN VBP VBG IN DT NN .
667| The man has on a yellow jacket and a white helmet .|DET NOUN VERB ADP DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT|DT NN VBZ IN DT JJ NN CC DT JJ NN .
668| A woman is walking on a sidewalk across the street from a Discount food and clothing store .|DET NOUN AUX VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN NOUN CCONJ NOUN NOUN PUNCT|DT NN VBZ VBG IN DT NN IN DT NN IN DT NN NN CC NN NN .
669| A number of men stand backstage , waiting to go on .|DET NOUN ADP NOUN VERB ADJ PUNCT VERB PART VERB ADP PUNCT|DT NN IN NNS VBP JJ , VBG TO VB RP .
670| Guys wearing potato sacks pull a cart down the road .|NOUN VERB NOUN NOUN VERB DET NOUN ADP DET NOUN PUNCT|NNS VBG NN NNS VB DT NN IN DT NN .
671| a boy running away from his bicycle on an empty street .|DET NOUN VERB ADV ADP PRON NOUN ADP DET ADJ NOUN PUNCT|DT NN VBG RB IN PRP$ NN IN DT JJ NN .
672| Four snowsuit clad children climb up a snowy hillside .|NUM NOUN VERB NOUN VERB ADP DET ADJ NOUN PUNCT|CD NN VBN NNS VB RP DT JJ NN .
673| Two bulls pulling a muddy man behind them while mud droplets spray .|NUM NOUN VERB DET ADJ NOUN ADP PRON SCONJ NOUN NOUN VERB PUNCT|CD NNS VBG DT JJ NN IN PRP IN NN NNS VBP .
674| People talk at a market under umbrellas .|NOUN VERB ADP DET NOUN ADP NOUN PUNCT|NNS VBP IN DT NN IN NNS .
675| A crowd of people outside the Beachcomber bar and grill .|DET NOUN ADP NOUN ADP DET PROPN NOUN CCONJ NOUN PUNCT|DT NN IN NNS IN DT NNP NN CC NN .
676| Blond little girl wearing novelty glasses .|ADJ ADJ NOUN VERB NOUN NOUN PUNCT|JJ JJ NN VBG NN NNS .
677| A group of asians are gathered around lit candles celebrating .|DET NOUN ADP PROPN AUX VERB ADP VERB NOUN VERB PUNCT|DT NN IN NNPS VBP VBN IN VBN NNS VBG .
678| Three workers are lifting a red sack while another sits on a floating dock .|NUM NOUN AUX VERB DET ADJ NOUN SCONJ PRON VERB ADP DET VERB NOUN PUNCT|CD NNS VBP VBG DT JJ NN IN DT VBZ IN DT VBG NN .
679| A hiker in the woods walking on a trail .|DET NOUN ADP DET NOUN VERB ADP DET NOUN PUNCT|DT NN IN DT NNS VBG IN DT NN .
680| A person is jumping in the air .|DET NOUN AUX VERB ADP DET NOUN PUNCT|DT NN VBZ VBG IN DT NN .
681| The back of a female as she swings , with a cloudy sky in the background .|DET NOUN ADP DET NOUN SCONJ PRON VERB PUNCT ADP DET ADJ NOUN ADP DET NOUN PUNCT|DT NN IN DT NN IN PRP VBZ , IN DT JJ NN IN DT NN .
682| A family opening up their Christmas presents .|DET NOUN NOUN ADP PRON PROPN NOUN PUNCT|DT NN NN RP PRP$ NNP NNS .
683| People sit at bars with a lot of wineglasses .|NOUN VERB ADP NOUN ADP DET NOUN ADP NOUN PUNCT|NNS VBP IN NNS IN DT NN IN NNS .
684| A redheaded girl with a turquoise jacket is swinging .|DET ADJ NOUN ADP DET NOUN NOUN AUX VERB PUNCT|DT JJ NN IN DT NN NN VBZ VBG .
685| Many women sitting with their goods for sale in a large produce marketplace .|ADJ NOUN VERB ADP PRON NOUN ADP NOUN ADP DET ADJ NOUN NOUN PUNCT|JJ NNS VBG IN PRP$ NNS IN NN IN DT JJ NN NN .
686| A youngster plays in the yard while his dad does lawn work .|DET NOUN VERB ADP DET NOUN SCONJ PRON NOUN AUX NOUN NOUN PUNCT|DT NN VBZ IN DT NN IN PRP$ NN VBZ NN NN .
687| Two children laying on the ground smile at each other .|NUM NOUN VERB ADP DET NOUN NOUN ADP DET ADJ PUNCT|CD NNS VBG IN DT NN NN IN DT JJ .
688| A group of people gathered on the steps of a building sitting and laying on the steps .|DET NOUN ADP NOUN VERB ADP DET NOUN ADP DET NOUN VERB CCONJ VERB ADP DET NOUN PUNCT|DT NN IN NNS VBD IN DT NNS IN DT NN VBG CC VBG IN DT NNS .
689| Two gray , speckled dogs running down grass hill , trees in background .|NUM ADJ PUNCT ADJ NOUN VERB ADP NOUN NOUN PUNCT NOUN ADP NOUN PUNCT|CD JJ , JJ NNS VBG IN NN NN , NNS IN NN .
690| A man wearing a blue jacket holding a Santa Claus statue on top of his head|DET NOUN VERB DET ADJ NOUN VERB DET PROPN PROPN NOUN ADP NOUN ADP PRON NOUN|DT NN VBG DT JJ NN VBG DT NNP NNP NN IN NN IN PRP$ NN
691| Several men and women are sitting in chairs on someone 's backyard patio .|ADJ NOUN CCONJ NOUN AUX VERB ADP NOUN ADP PRON PART NOUN NOUN PUNCT|JJ NNS CC NNS VBP VBG IN NNS IN NN POS NN NN .
692| A man holding a large chunk of snow over two people on the ground .|DET NOUN VERB DET ADJ NOUN ADP NOUN ADP NUM NOUN ADP DET NOUN PUNCT|DT NN VBG DT JJ NN IN NN IN CD NNS IN DT NN .
693| Two guys are performing a show .|NUM NOUN AUX VERB DET NOUN PUNCT|CD NNS VBP VBG DT NN .
694| Three men smile at the camera surrounded by a pile of green and yellow fruits .|NUM NOUN VERB ADP DET NOUN VERB ADP DET NOUN ADP ADJ CCONJ ADJ NOUN PUNCT|CD NNS VBP IN DT NN VBN IN DT NN IN JJ CC JJ NNS .
695| A little boy in a red shirt is swinging at a pinata .|DET ADJ NOUN ADP DET ADJ NOUN AUX VERB ADP DET NOUN PUNCT|DT JJ NN IN DT JJ NN VBZ VBG IN DT NN .
696| a man is being photographed by another man while others around him are preparing for a parade|DET NOUN AUX AUX VERB ADP DET NOUN SCONJ NOUN ADP PRON AUX VERB ADP DET NOUN|DT NN VBZ VBG VBN IN DT NN IN NNS IN PRP VBP VBG IN DT NN
697| One child sitting in a stroller , wearing a stethoscope .|NUM NOUN VERB ADP DET NOUN PUNCT VERB DET NOUN PUNCT|CD NN VBG IN DT NN , VBG DT NN .
