|description|target
585| A woman wearing black a shirt and shorts walks through a fountain .|1
586| A child smiles while holding a flag while others sit in the background .|0
587| Cyclists ride down the street on a sunny day .|0
588| This dog is running through water on beach a .|1
589| A man sits and outside plays a red accordion .|1
590| City workers are working on the subway .|0
591| A group of people are on sitting the beach with a cooler .|1
592| woman wearing yellow shirt , at standing an outdoor food kiosk .|1
593| a sign telling you to accept jesus as your savior .|0
594| man A paint spattered clothing talks on a mobile phone .|1
595| Some people products carrying into a building that is under construction .|1
596| A blond woman smiles outside Laperla of .|1
597| A baseball player the takes mound in an outdoor stadium .|1
598| A group of young boys in red robes are bringing their pots to be filled with water .|0
599| A romantic view of a building after sunset with sunset landscape colored lights .|1
600| A group of men and woman are walking down the street wearing numbered signs on their chest .|0
601| A man in a red shirt and shorts walks down the sidewalk a past Pizza Inn .|1
602| A man stands in front of a very tall building .|0
603| Two black men walking down the gratified sidewalk .|0
604| Two men in black suits are towards walking a business office .|1
605| A fluffy dog runs across a bridge near a forest .|0
606| four women and one man jumping on the street .|0
607| A woman listening another to woman 's belly .|1
608| A goes boat out to see while someone watches on the beach .|1
609| A man weaves fibers together while seated on a stool|0
610| A opening child Christmas presents .|1
611| Dark-skinned woman creates beautiful native pottery outdoors .|0
612| Cheerleaders wait to catch teammate their .|1
613| Children joyously doing exercise for drills soccer practice in a wide open field of grass .|1
614| A family of three people are watching men in costumes pass by .|0
615| A young man with long hair sits at a drum on set stage .|1
616| A young girl is playing with a soccer ball in the grass .|0
617| A woman is carrying a child on the beach .|0
618| Cyclist riding his bicycle in a race .|0
619| People out enjoying drinks and conversation while sitting at an outdoor restaurant patio .|0
620| The cute baby is playing a toy .|0
621| A man squatting in front a pile of objects .|0
622| Several boys are playing football the in grass .|1
623| a young skateboarder a jumping trick in the air .|1
624| A barefooted woman spinning yarn on floor the .|1
625| Children look at a statue of a woman carrying a bag grocery .|1
626| A boy young kicking in the air in a grass field .|1
627| A woman in a purple top and sunglasses walks pass the crowd .|0
628| older A woman cleaning the window of a door .|1
629| A man is giving two thumbs up to a crowd of people .|0
630| A woman in a white shirt and jeans holding two rakes as she walks down the street .|0
631| A woman with flowers in her hand and a man walk on a walkway in arm arm .|1
632| A young boy does a one-armed handstand on a concrete .|0
633| Children climbing on ropes at a park .|0
634| A group of men and woman are singing together .|0
635| A DJ stands behind his equipment wearing at headphones an outside venue .|1
636| A man is standing in front of three people sitting around a table .|0
637| Two schoolgirls talking are to a woman .|1
638| Two parents stand and watch as children play in a bouncy house .|0
639| A man with a goatee wears a fur hat in the snow .|0
640| trolley A heading down the street|1
641| Two men participate in a while match wearing karate garb .|1
642| artist An enthusiastically works on a sculpture .|1
643| Students are sitting in a classroom listening to six people who teaching are .|1
644| A couple sits in an antique automobile in populated a building .|1
645| A man does a skating trick off of graffiti-filled stairs .|0
646| Two elderly gentlemen in sweaters are seated outdoors and engaged conversation in .|1
647| A woman eats on a bench while a brown and white leashed dog stands next to her .|0
648| The man in the gold lame shorts wearing is many gold necklaces .|1
649| Two white and brown dogs up against a fence .|0
650| The woman is wearing a purple shirt and red while sunglasses her friend wears an orange shirt .|1
651| A boy is running around the bases in a baseball game .|0
652| A boy in a white t-shirt is splashing in shallow water .|0
653| An African boy in large green shirt is barefoot running along a wall .|1
654| A leaps skateboarder in the air on a city street .|1
655| A young man is working very hard for his country .|0
656| A girl smiles while a makes boy a V sign behind her head .|1
657| A group of people run down a city street .|0
658| Little boy with red shirt and gray shorts does a trick on a skateboard .|0
659| a person in a robe hay holds and sticks|1
660| A shirtless man is running down a wharf .|0
661| They are performing marshal art and the viewers are watching them .|0
662| Three people wearing winter gear crosscountry ski through the woods .|0
663| Four men are eating a at table .|1
664| People are gathered around for an occasion .|0
665| two men on a sidewalk sitting and lying on luggage .|0
666| A man wearing a black rides shirt his skateboard along the top of a ledge .|1
667| a Kid in a spiderman outfit holds toothbrush and ball in the bathroom|0
668| People are walking down a surrounded walkway by buildings .|1
669| A group of people enjoy a united calling .|0
670| Four soccer players are all jumping at the same time to hit the soccer ball .|0
671| A kid is holding a and broom sweeping his property .|1
672| A person is about to kiss a sleeping baby 's hand .|0
673| A white dog with a black harness on runs a rocky shore .|1
674| A woman is captured into midair her leap with pyramids in the background .|1
675| A sitting man in clear shallow water beside a large rock face .|1
676| A man and a woman wearing jackets embrace in a hug .|0
677| A group of people are standing around a dining table with food on it .|0
678| A white dog with a loose leash is on a dirt road|0
679| Young boy drifting in small canoe on a calm blue river .|0
680| A shirtless man in dirty black boots dips his hands into a bucket .|0
681| High school player football scooping up a fumble .|1
682| A boy in swimming a suit is diving into a pool .|1
683| Woman a cleaning desk in a dilapidated building .|1
684| The is janitor vacuuming the floor to make it ready for the day .|1
685| A man is intently observing a slide through a microscope .|0
686| Some children are standing in a doorway .|0
687| People through walking a watery path .|1
688| A man in a blue is shirt spraying a sand sculpture .|1
689| Three chefs prepare dishes for customers , one of the chefs is a female .|0
690| A woman with a scared look on her face preparing for roller coaster ride .|0
691| A male smiles happily as he looks at many electronic cables .|0
692| A sits woman backwards on a chair in a field .|1
693| brown Two dogs play in shallow water|1
694| Two cocker spaniels running through the grass .|0
695| One person in a brown suit with his arm around another a in hat by a wall .|1
696| of Silhouettes people in dark place|1
697| A little boy in his clothes running through a fountain and getting soaked .|0
698| A in musician clown makeup playing the guitar .|1
699| A woman wearing a blue shirt sits on a white bench .|0
700| Three children pose outdoors a on hike .|1
701| A crowd of people are wearing yellow shirts and dancing .|0
702| A holding man a cane and wearing a hat is sleeping on a bench .|1
703| A man playing looks tennis very happy .|1
704| A group of men and woman wearing army pants and a white shirt are running .|0
705| A man and a are girl painting crafts at a table while a woman observes .|1
706| Four people wearing jackets in a large , plant-filled field .|0
707| A little kid on swings a pole at a playground .|1
708| Lots of people are walking around on the street .|0
709| A middle-aged man over leans a table of food that he is selling on the street .|1
710| Two men in blue are jeans walking down the street .|1
711| An Asian youth with red-hair and painted face plays a guitar sings and .|1
712| A woman is sitting in the water .|0
713| A kid in a black shirt on a tennis court with running a dark green background .|1
714| People sitting on bales of straw with man and woman in the foreground dressed old-fashioned in attire .|1
715| A young man wearing a jacket blue is turning his head .|1
716| Five workers on a muddy field .|0
717| This little girl is putting on a helmet .|0
718| Men together working , to pull in a fishing net .|1
719| A woman carrying bags shopping .|1
720| An Amish woman is preparing a horse to pull her buggy .|0
721| A woman is dressed and face is painted with forks spoons , and knifes .|1
722| A wearing person a white headband and brown shirt fishing with a wooden rod .|1
723| A man is looking at wares the of a stall in a busy marketplace .|1
724| A man in a white t-shirt does a with trick a bronze colored yo-yo .|1
725| A black man is at pointing a sign .|1
726| People in orange robes line up behind a man wearing sunglasses .|0
727| Two kids laughing with together food and drinks in front of them .|1
728| a black dog about to jump into a lack to get a small ball .|0
729| A little girl in a hat and red pants balances on tightropes .|0
730| A large crowd people of are outside relaxing in the courtyard .|1
731| A woman sitting down by a closed umbrella with a piece of clothing on her head .|0
732| kid A comes up from the water .|1
733| People in a crowd behind a yellow gate metal .|1
734| child A rides the back of a wooden pull cart .|1
735| Warmly , casual dressed people looking at rock sculptures art that are in a body of water .|1
736| an african-american woman rides her moped .|0
737| A man leads the way his on bike while two others follow in the distance .|1
738| People watch fire a from their balcony .|1
739| A woman enjoying a meal at the leaning tower of pisa .|0
740| a surfer on a white surfboard wearing a yellow shirt with one arm in the air .|0
741| People looking at a map central in park .|1
742| A group of two woman and 3 men sit at a dark wooden table eating dinner .|0
743| A young lady hula-hooping is with a crowd of onlookers in the middle ground .|1
744| Six people , four male and two female , hanging out in a room living .|1
745| A man and 2 women dark in clothing .|1
746| A group of people are riding bicycles .|0
747| A young girl sitting in swimming gear|0
748| dental A technician is completing a procedure on a patient .|1
749| A person runs a with dog .|1
750| performing Singers to the crowd .|1
751| A woman is walking in winter with a cart of groceries .|0
752| The Sooners quarterback is waiting for the snap from his center .|0
753| A musician dressed in a suit plays his large instrument while sitting on an amplifier .|0
754| Hands painted with red nail holding polish a nail polish bottle 745 .|1
755| Woman with face on mask is holding a baby swaddled in white .|1
756| Two athletic men climbing a waterfall .|0
757| Indian man sitting in the street doing some sort of metal working , tools around him .|0
758| The man is posing in front of a small child near a light post .|0
759| men Two are traveling in a canoe .|1
760| Large groups of families in gather an outdoor courtyard to pray for rain .|1
761| A silhouette of a man and woman stand in front of a wall of fire .|0
762| Three children play in a large bowl shaped swing .|0
763| two guy standing on horses , while a crowd watches|0
764| Man and women on sitting tree posing for picture .|1
765| A woman in ethnic clothes looks like she is dancing .|0
766| Some men are sitting on a boat near a beach covered in stacked logs and sticks .|0
767| The rider is his jumping BMX bike .|1
768| gentlemen The wait not speaking to one another .|1
769| Three boys climb on a slide|0
770| A man is waiting for a bus at the bus stop|0
771| A bull terrier terrorizes an old in tire the sand .|1
772| Two people in walking front of a graffiti wall .|1
773| A little girl runs across a green field grassy .|1
774| Two children sit side by side while a eating treat .|1
775| A man crazy with eyes in a fedora has his guitar looked at .|1
776| construction Two workers working in the middle of a city .|1
777| A black and white dog looks a at man about to throw something .|1
778| Four silhouettes decorate the horizon 's sunset .|0
779| Two boys wearing white karate uniforms are engaging in sparring .|0
780| Two young women run on a track surrounded by foliage .|0
781| Older man his baiting hook before tossing it out to see what he can catch|1
782| Little boy standing under a tree in the park after throwing Frisbee a .|1
783| Asian school children listen to their teacher talking .|0
784| girls The is jumping into the air on the beach .|1
785| A man in lies a crowded street while people walk by oblivious to him .|1
786| A girl climbing down from the side of a bright blue truck while others watch .|0
787| A crowd of people singing with four green strobe lights shining the in background .|1
788| Two women dressed in black are leaning backwards on tables of white .|0
789| A woman in a bikini holding a pamphlet .|0
790| a group of people surrounded at a dinner table|0
791| Children getting by sprayed water in a parking lot .|1
792| A man his rubbing hands on some type of metal object|1
793| A young girl looks up at an adult as tries she to swing on a public playground .|1
794| A woman wearing a hooded jacket over a striped sweater is rollerskating with other people .|0
795| children Two are shown upside down .|1
796| While a lady digging a deep hole in the sandy beach , two children watching her .|0
797| Dog is swimming through water with a of piece wood in its mouth .|1
798| A woman wearing black and red is playing a violin in street the .|1
799| Three painters painting are the railings of a pier .|1
800| A room full of people with a black kid showing a piece of art .|0
801| Two women stand near a large mixer as they dough prepare .|1
802| A man wearing a blue shit is standing up speaking .|0
803| A person wearing goggles with a white strap and short blond-hair swims in a pool .|0
804|" A man posing with a """" November ca n't come soon enough """" poster ."|0
805| Group of young adults posing for picture near spanish-language sign .|0
806| A large brown dog is digging in the sand .|0
807| people many rollerskating|1
808| Two men re-tarring a roof on a sunny day .|0
809| A girl laughing and a girl looking away .|0
810| old An woman walks across the street with a cane .|1
811| A adult lively karate practice at the dojo .|1
812| Someone is swimming in a pool .|0
813| Two children a and woman climb up the stairs on a metal electric pole-like structure .|1
814| The little girl is watching the lady the on ground .|1
815| Three men are on working a home improvement project .|1
816| Person in bear costume has taken off mask in public .|0
817| Many are kids sitting and taking notes .|1
818| A girl raises her hands up in a crowd of people .|0
819| A horse and rider jumping tall rails positioned over a replica stone , bridge arch-style .|1
820| A crowd watches a many on a bicycle performing a stunt .|0
821| A chinese festival .|0
822| A play wooden ship that children can climb on and play in .|0
823| A young boy is swimming a in pool .|1
824| A skateboarder flips his board over steps some in a plaza .|1
825| A oriental person rowing a boat , full of vegetables , down a river .|0
826| two men drinking beer with another in the background .|0
827| Seven kids are sitting around in a circle fixing their bikes .|0
828| A man and woman sit on a bench , watching a boat go by .|0
829| A man is walking down the holding street up a picture .|1
830| A young girl smiles and sticks her thumb up while posing in front of a turtle .|0
831| long-haired A man belts out a tune on a trumpet while accompanying his band .|1
832| A woman in a black dress sitting in of front a table of wares .|1
833| A man in standing a strange building is looking out a window at the water .|1
834| A hand with a ring touching a piece of blue material under a light .|0
835| Two girls sitting on a chair being sketched .|0
836| Two women bumping into each other during a roller derby game .|0
837| man A is snowboarding over a pipe .|1
838|" Nine female dancers wear tutus and use """" Guitar Hero """" guitars as a on prop stage ."|1
839| person A dressed in an orange uniform walking towards two women .|1
840| A boy shovels into manure a fire while a man looks towards the camera .|1
841| The woman in glasses is holding a red and white sale bag .|0
842| A young man woman and sitting in the backseat of a car smile at the camera .|1
843| Football players are tackling a football player the carrying football .|1
844| A track athlete is jumping a hurdle .|0
845| A young boy walks a on pipe that stretches over water .|1
846| Large green lawn with a man and a building in the background .|0
847| Three women are outdoors praying|0
848| A man young with a backpack and blue sunglasses is crossing the street .|1
849| a dog runs for the tennis ball .|0
850| A woman stands behind the cash register of White Castle waiting to money accept .|1
851| A taxi cab with a lot of around people the street .|1
852| A white bird has something in its beak at it lands on the water .|0
853| A young boy walking through courtyard the of ruined buildings .|1
854| Patriotic band is playing music for onlookers .|0
855| Person in black about to jog under a bridge .|0
856| Two young girls dressed in pink reach into fountain wishing at mall .|1
857| Food is prepared in an open air market .|0
858| A white male with a black hat and blue shirt sitting a on fence playing a guitar|1
859| A man standing in a green box .|0
860| A girl little standing in the middle of a street cleared for an oncoming parade .|1
861| A man is dressed in a costume in front several of goats .|1
862| man A on a motorcycle rides with a dog|1
863| Two in girls costumes sit on a sidewalk .|1
864| A man a in striped shirt smiling .|1
865| Two people are riding bicycles to next a building .|1
866| A group of woman discussing the artwork as they for wait the train .|1
867| Young man wearing a blue helmet and riding an ATV through the mud .|0
868| A camera crew is filming an older gentlemen wearing long a gray coat .|1
869| A rugby match in progress is shown with the referee watching .|0
870| A man and a woman look to their left near a liquor store .|0
871| Middle school aged kids are showing their school spirit at pep a rally .|1
872| Three men sitting the on curb in front of a convenience store .|1
873| A girl in a striped blouse sits on a bench near a pay phone .|0
874| A child looks a at lizard in another child 's hand .|1
875| Six Buddhist boys walk along the side of a road in orange traditional monk robes .|1
876| Woman in shorts and t-shirt standing by some seated men and a watching performance or speaker .|1
877| Men in some Christian order marching in procession down a street .|0
878| Two dogs in grassy a park playing .|1
879| A boat full of Asian people is sailed through reeds and bushes .|0
880| A kayaker almost turns over .|0
881| A man and a woman walking are arm in arm up steps .|1
882| Two men relaxing in a bakery|0
883| three bikers bike the across dry land .|1
884| Marathon are runners running down a street with motorcyclists nearby .|1
885| Coordinated playing youths orchestral instruments .|1
886| A man is swinging his racket as he plays a tennis match .|0
887| 2 young men in white tank tops and basketball shorts , one holding a basketball .|0
888| this is a of group people participating in a race|1
889| Three young men sprinting past their coach outside .|0
890| Three jockeys mounted on horses ride in race .|0
891| Two people wearing black jacket and blue jean stand facing opposite directions .|0
892| Two men down bent in front of a brick wall .|1
893| A team of players the middle of a football game .|0
894| A youn man in front of a white house holding blue and red basketball .|0
895| Three people giving a presentation before a crowd .|0
896| A brown greyhound is wearing a blue muzzle and blue collar .|0
897| Two bikers biking by a yellow field .|0
898| a brown and white dog has is mouth open ready catch to a green ball .|1
899| Man with a weapon lying against a wall .|0
900| Pedestrians are waiting to cross the street at a crosswalk .|0
901| People like dressed furry animals walk the streets on a rainy day .|1
902| Young boy drops from rings in gymnastic class .|0
903| A barefoot woman with tattoos on her shoulders in shopping a grocery store .|1
904| A young man part taking in a pie eating contest .|1
905| A little girl with her hair flying up in the air on an air-filled toy .|0
906| The larger dog is barking at the smaller dog .|0
907| Two women dressed in animal prints are playing percussion instruments .|0
908| A woman in a black shirt is hugging a man .|0
909| A child stares down over a group of people who are around a bonfire .|0
910| A group of people standing in a courtyard looking up at people out on balconies above .|0
911| Two puppies are sitting together next to a bike on black tiled flooring .|0
912| The child in the red coat laid in the red mat .|0
913| Two officers in uniform chatting in golf a cart .|1
914| Woman wearing black and washing windows .|0
915| People at a party standing around an illuminated fountain .|0
916| A little girl is standing in between two men in what looks like a store room .|0
917| Two people embrace on the end of a dock .|0
918| A blond little girl looks through a pair of green binoculars .|0
919| Two small children are talking in a in field front of a yellow caution tape .|1
920| A woman walking her dog along a street of residences .|0
921| A young barefoot boy is petting a cat on a trail in the woods .|0
922| A young boy examines a field of pumpkins , with some already in his wheelbarrow .|0
923| A man is using a cutting board to food chop .|1
924| A man sitting at a computer hides his face from a little boy in a gray shirt .|0
925| A girl with a blue shirt using a with telescope two friends .|1
926| Village person is picking vegetables from the ground .|0
927| A man surfing on a wave with a few people behind him swimming .|0
928| a man in blue sitting on a machine working .|0
929| A blond toddler in puffy a jacket sits at the top of a blue slide .|1
930| Three people on standing boardwalk looking at buildings across the water .|1
931| A dog enjoys playing in the water at the edge of field a .|1
932| A dog jumping up in the air next to a white house .|0
933| A skier on red skis is upside flipping down between two trees .|1
934| A backhoe digs out dirt dusk at .|1
935| A girl walks next a to pool .|1
936| Two black dogs play in the waves the at beach .|1
937| 2 guys and a woman riding on a subway watching something funny .|0
938| brown The dog has a hold of the other dogs cheek with its teeth .|1
939| A Rotweiler with a tennis ball in its mouth and a black lab in running the snow .|1
940| A playing man the flute for a pigeon .|1
941| Two whites and a black enjoy a pie eating contest .|0
942| A fire-dancer male performs .|1
943| A swimmer Hungary from is standing near the edge of the pool .|1
944| tennis A player on a clay court runs to the ball .|1
945| A female and singer male guitarist on stage .|1
946| An Asian woman wearing a mask breathing nursing a newborn baby .|1
947| Two men in black shirts play Guitar Hero .|0
948| A woman dressed in green is playing with her tan dog .|0
949| A young man in his 20 's on sits a bench in front of a yellow truck .|1
950| A girl is performing the long jump with arms in air the .|1
951| Five people attend a luau style party .|0
952| A man smiles for the camera with a beer in hand .|0
953| A man is chopping wood beside his teepee in park a .|1
954| A man wearing a cowboy hat and a gold cross around his neck|0
955| A woman in a white dress walking across the beach while holding a cup of coffee .|0
956| A crowded classroom a in third world country .|1
957| An older woman a in white shirt holds a red bag behind some glass .|1
958| Some young boys pose with a man and woman some by graffiti .|1
959| The person is dress from head to toe white in and is walking on the street .|1
960| A gymnast jumps to flip in gymnastics competition .|0
961| A man is crossing the stop the violence painting .|0
962| A woman in a white shirt working on her laptop .|0
963| A man in a white shirt and black pants is playing a large brown instrument .|0
964| a kid playing in the playground|0
965| 3 men are sitting along a walkway .|0
966| A boy walks with a soccer ball near a fence .|0
967| Older woman in dress and hat sitting on bench a waiting for her company to arrive .|1
968| A mother her holding sleeping baby .|1
969| A little girl in navy blue is posing on a railing .|0
970| A mother holding an item while her daughter is on the phone texting .|0
971| A BMX rider in a red and black outfit jumping is on his motorcycle .|1
972| Two girls sit at a table with a green marker on standing its end .|1
973| The young boy is examining a rock with his magnifying glass .|0
974| a man and two women around standing a grill .|1
975| A young man skateboards in black shoes , black pants , and a white top with sunglasses .|0
976| Three kids lean into the water edge bright wearing pants .|1
977| The boy in the and red white shirt is signing large paper .|1
978| A man blue in overalls hanging onto a pole above a crowd of people .|1
979| A woman sits in a cafe , looking out a window .|0
980| An older male barber standing next to a barber chair .|0
981| Oriental man reading a sheet at a convention .|0
982| People in front of a Cheesecake Factory with masks and costumes on holding signs .|0
983| a young skateboarder doing tricks the in air|1
984| A dog with paws in the air on lying grass|1
985| A man in green shorts and sunglasses is doing stomach crunches by the beach .|0
986| A man in tan a jacket is walking under a dark bridge .|1
987| An older white man teaching to Indian students wearing blue while their teacher watches .|0
988| A man putting dishes away the in dishwasher .|1
989| A woman is posing in the isle of a grocery store .|0
990| lot A of people are listening to a man with a microphone .|1
991| A blue collar worker wearing safety is glasses operating an industrial machine .|1
992| A person is riding a board in the air .|0
993| A cowboy a riding bucking horse with the letters CKI marked on its backside .|1
994| Three play children with a toy .|1
995| Men are walking with a pack dogs of .|1
996| a muzzled greyhound dog is running around a track|0
997| The Chines people are doing something .|0
998| A group of people spending time a at park in costume .|1
999| The man with a shaved head and nipple piercings is wearing sunglasses .|0
1000| Five Lab technicians look their in microscopes .|1
1001| A little boy wearing red is playing bowling with two hands .|0
1002| A man and woman help each other with a fishing rod .|0
1003| A woman standing in front of a mirror as her friend fastens necklace her from behind .|1
1004| Three children are in standing front of a billboard advertisement .|1
1005| An outdoor martial arts demonstration shows a in man white defeating a man in black .|1
1006| A woman red-haired is wearing a black beret adorned with the American flag .|1
1007| Two soccer teams walking on a soccer field .|0
1008| a man in a coca cola building wiping down table a .|1
1009| Man stands holding a paper in a city .|0
1010| two people running on the shore of a beach|0
1011| brunette A male toddler is sitting in a sink and holding a toothbrush .|1
1012| Two are women shaking hands on a tennis court .|1
1013| Man putting up tile a in the ground .|1
1014| A in kid blue swim trunks swimming the backstroke .|1
1015| An African American boy in an orange shirt is standing in a very large rock structure .|0
1016| A woman appears to be taking a break from riding her bike .|0
1017| Five men standing on a music set smile and wave at an audience unseen .|1
1018| People are crossing a city street .|0
1019| Two Asian women are to next a table that has food on it .|1
1020| old An man is reading the paper despite crushing feelings of loneliness .|1
1021| A woman in a striped shirt folds her arms while standing in a grocery store .|0
1022| A child with a sweater is holding a pen in his mouth .|0
1023| A little child skipping rocks in water the .|1
1024| A woman in a cycling jersey rides a bicycle .|0
1025| The rugby players play on a field .|0
1026| Four women two , with id badges .|1
1027| A dog in midair catching a ring , while another dog watches .|0
1028| A young man riding a skateboard and carrying large bags .|0
1029| A dog walking along a canal and his reflection is on the water .|0
1030| A man and a woman kissing while at a show .|0
1031| A in woman a psychic readings shop reads a customer 's palm while other women wait .|1
1032| A group of students looks during on their graduation ceremony .|1
1033| Children wearing red formal act attire silly together .|1
1034| in Man orange shirt holds ice cream while standing next to ice cream cart .|1
1035| A pair of hands involved in a task .|0
1036| An old man is painting a picture .|0
1037| dog jumping looking up and small ball white in air passed by|1
1038| A laughing child is holding a water gun and getting sprayed with water .|0
1039| four people in a snow covered field with hacksaws .|0
1040| Bikers riding their motorcycles in a motorcycle lane amid a bustling city .|0
1041| Two women on a city street are smiling each at other .|1
1042| A black man is on a bridge .|0
1043| Young woman and elderly man coming out from an underground subway tunnel .|0
1044| An asian man in a suit on the subway , asleep .|0
1045| A man is upside down an on outside gymnastics bar .|1
1046| A man carrying a empty suitcase .|0
1047| A young boy wearing goggles working on a simple science project .|0
1048| Child laying next to a dog while looking at a phone .|0
1049| A man in his skateboard jumping over a grocery cart as his friends in the back watch .|0
1050| A man is looking at bananas on a table .|0
1051| Two sharing women a glass of beer .|1
1052| A male crosscountry runner sprinting down a road wet .|1
1053| A man and woman are riding a green Suzuki motorcycle together .|0
1054| A older man smoking a cigarette while pointing his finger at something .|0
1055| Students are outside of a dorm building having a water fight .|0
1056| A woman in a brown dress is interviewing two men .|0
1057| A ship with a and red white sail is in a body of water .|1
1058| A man wearing a brown and shoes with a cardigan and glasses sits in a short stool .|1
1059| This is a blue small green white manual , with a bent cover|1
1060| A brown dog lies upside down on the cement road .|0
1061| Two men on horses compete to see who can rope the calf first .|0
1062| A woman is walking down the street with a black umbrella over her .|0
1063| A young man is performing a skate trick in neighborhood the .|1
1064| Children sit together in circle a .|1
1065| A man is laying on a bench outside .|0
1066| A mom her giving son a hug|1
1067| Three men having picnic a along the water .|1
1068| A tan girl in a floral is bikini swimming in dark blue waters .|1
1069| A standing woman is reflected in a shiny surface .|0
1070| A band is performing on a stage .|0
1071| A dog climbs down a black ramp|0
1072| Two men in red shirts standing are with a man in a black shirt .|1
1073| Man is standing next to the railing with beautiful clouds in the background .|0
1074| A teenage boy climbs an indoor climbing wall .|0
1075| A man is leading an ox pulling a cart through a rain forest .|0
1076| A man in a black jacket sitting on a bus with earphones .|0
1077| A man in gray is pushing his bicycle down the street .|0
1078| A man in a white shirt reading is a map .|1
1079| Tourists are looking at and photographing a statue .|0
1080| Three young planting people flowers and covering the area with a tarp .|1
1081| A woman is walking down the street holding an umbrella .|0
1082| Two standing hikers at a trail head .|1
1083| This man is in camouflage clothing , in a wilderness , area aiming a camera .|1
1084| Some people are sitting along the wall and , some people are walking along the street .|1
1085| A brown dog has its eyes closed and a purple Frisbee its in mouth .|1
1086| Two people backpacks wearing walking along side a building .|1
1087| Families are playing at the park on tire swings .|0
1088| Two competitive cyclists ride a through corridor .|1
1089| girls Little sitting on a curb .|1
1090| Townspeople gathered for festival a .|1
1091| A woman posing with kid a in the background playing with bubbles .|1
1092| People in while shirts and pants are walking in the street .|0
1093| A is man sitting on a trolley .|1
1094| Sisters waiting and contemplating the next move as they wait a turn .|0
1095| Two men in suspenders talking to a woman .|0
1096| A young dark-haired woman crouches on the of banks a river while washing dishes .|1
1097| A cowboy with a black hat is riding a bull at the rodeo|0
1098| A man is playing the at banjo a concert .|1
1099| A woman walks as she looks at cellphone her and others look on .|1
1100| Children are riding a ride swing at an amusement park or state fair .|1
1101| Two dogs run along the grass green near the water .|1
1102|" Woman with an """" Obamacondoms.com """" board talks to a man on the street ."|0
1103| A woman and two young girls shelter themselves from the rain with umbrellas .|0
1104| A is man passed out on a park bench .|1
1105| A man grilling hotdogs on a gas grill .|0
1106| A man a pours clear solution into a small , clear , tank .|1
1107| Two little girls in summer clothes are washing a dog brown .|1
1108| A man is standing in the shallow water holding a hoe and looking at something .|0
1109| A is man singing into a microphone while his band plays .|1
1110| A man no with shirt holding a baby aloft .|1
1111| A woman in a blue , tan and beige striped shirt smoking is .|1
1112| A man rides on a platform with wheels and is pulled being by a donkey .|1
1113| A man rides a bull a in rodeo .|1
1114| A man in a purple getting his haircut with giant a blow dryer faced towards him .|1
1115| A lot of people and mingling having fun at a get-together .|1
1116| A middle-aged man is sitting indian outside style holding a folded paper in his hands .|1
1117| Businessman walking and talking on phone .|0
1118| A black dog chases birds on the shoreline|0
1119| Three young men are examining a bike red with yellow handlebars .|1
1120| A girl in a yellow shirt jumping over a hurdle .|0
1121| A boy little in a yellow shirt and green shorts jumping on the couch .|1
1122| A little boy gives a thumbs up as he sits in the snow .|0
1123| Boy wearing helmet stands by tree while man wearing helmet checks bicycle wheel .|0
1124| A man servicing is a truck .|1
1125| Swimmers Synchronized with blue bathing suits .|1
1126| A girl little in a yellow dress jumping rope .|1
1127| holding girl a guys head .|1
1128| group A of bicyclists racing .|1
1129| Costumed revelers enjoy a cloudy day at the park .|0
1130| The boxer his counters opponent with a left hook .|1
1131| An older gentleman with disheveled hair and a blue jacket reads a pamphlet on the subway .|0
1132| A man in fancy clothing plays a guitar on a stage .|0
1133| People are standing next to a chain link fence .|0
1134| Five people are jumping in the air for a photo opportunity in of front a fountain .|1
1135| Woman performing in beautiful white dress holding microphone and surrounded musicians by at a jazz festival .|1
1136| A yellow dog is standing in front of a green car and next to a toilet .|0
1137| People in a subway station waiting the for train .|1
1138| A dog leaps to catch a ball .|0
1139| Two football players leap into the air as a player on the opposing team moves toward them .|0
1140| Man in a flannel shirt using a table saw to cut a tree limb .|0
1141| A man in a green shirt with a box cutter surrounded by vegetable plants .|0
1142| A man wearing red a t-shirt is snowboarding even though he 's not wearing a jacket .|1
1143| A group of boys exploring the seaside .|0
1144| A man in a red and white striped shirts sits on a stool at a hotdog stand .|0
1145| A man holds a coffee cup while in the bathroom .|0
1146| Two men stand in front of a shabby vegetable stand .|0
1147| There is a little boy with black a and white striped shirt sitting outside .|1
1148| A couple enjoy the scenery while a photographer captures on it film .|1
1149| A woman running in a triathlon wearing a green shirt .|0
1150| Two guys mounting a box on a railing .|0
1151| A girl with a Popsicle and few a other children observe an aquarium .|1
1152| this is a relaxing hot at tub a spa .|1
1153| Two men are together ; one appears to entertain the other his with guitar .|1
1154| cut Newlyweds their wedding cake .|1
1155| A man wearing a helmet stands on a boat in the middle of the ocean .|0
1156| The Christmas-themed section of a store , populated by a handful of shoppers .|0
1157| A woman in a teal bikini top walking is .|1
1158| A bartender wearing a black button up shirt is pouring two beverages .|0
1159| A boy in a red jersey is playing ice hokey on an outdoor ice rink .|0
1160| A group of looking tourists at a set of columnar ruins .|1
1161| A girl little walks down the tree lined road .|1
1162| Two young boys are talking a in room in front of a window at night .|1
1163| Boys and girls of various ages participate in a potato sack race .|0
1164| A woman holding a lid on a trashcan with a cleaning cart on the right .|0
1165| Amazing men in wheelchair racing competition show what they got .|0
1166| A person walking down a snowy and well lit close street to a house with Christmas lights .|1
