|description|black_index
890|A woman wearing a green shirt using a large black telescope during the day .|9
891|A black and white dog chasing a tan and white dog across a path .|1
892|A man in black pants and a red shirt is bowling for the UK .|3
893|A homeless man stands in the street with a black dog .|9
894|A black man wearing a safety vest and hard hat is dumpster diving and appears to be holding a piece of electrical conduit .|1
895|A girl with blue shorts , a black top , and a purple hat sits in the bottom of a shopping cart in a grocery store .|7
896|This is two black children dressed the same hugging .|3
897|An adult wearing a black shirt and tan pants is standing at the water 's edge with two children .|4
898|A black scientist looks through a scope examining a biological specimen 's blood cells .|1
899|A man wearing a white shirt with a black stripe in khaki pants posing in front of a fence guarding a building and a red flag .|8
900|A man wearing black pants and a helmet is riding a brown horse .|3
901|A young black man is skateboarding on a smooth concrete surface .|2
902|A man in white is playing a black accordion .|7
903|A person wearing a black hood is sitting on a dock by the water .|4
904|A jumping black dog .|2
905|A black dog is slowly crossing a fallen log that is outstretched over a stream of water .|1
906|A black street dancer performs for a crowd of people .|1
907|A team of boys in red and black uniforms play soccer on a field .|7
908|Two black and one white construction workers work outside .|1
909|Man walking down the street is wearing a black suit and carrying a small white bag .|8
910|A circle of men in black are holding feathered hats and standing behind a red sign .|5
911|A person is eating a plate of pasta with a black and brown dog on his or her lap .|10
912|Four guys including one with a black backpack , one drinking coffee , one in a red shirt and one with a gray shirt are watching Elmo on tv .|6
913|A man in a black shirt jumping with a coffee cup full of a beverage .|4
914|A small black dog is in the grass .|2
915|A brunette wearing a black tank top and camouflage shorts walking down the street in a major city near a metro subway station .|4
916|A gray-haired man wearing all black is standing on the corner of a busy street .|5
917|Person in black jacket and green pants skiing downhill|2
918|A boy is sitting on a black boat with two flags on long poles .|6
919|An upside down man in a black shirt with red wristbands .|6
920|A person swimming in a pool with black goggles on .|7
921|A man in a black jacket with a white stripe down the right arm working on something he is holding with both hands .|4
922|The black dog is pulling on something purple with its mouth .|1
923|A black and tan dog leaps over the green grass .|1
924|Two black dogs playing with orange object run across grass .|1
925|On a beach , black and brown dog runs , brown dog jumps .|4
926|Men wearing black and white striped shirts and red scarves carry a shrine on their shoulders .|2
927|A Choir wearing all black performing on a stage .|4
928|A bicyclist in white and black tights is drinking in front of a mini van .|5
929|Two men in black leather jackets , glasses , and hats , open them up for walkers .|3
930|Two musicians sing into microphones , one in the foreground wearing a black and white striped shirt raises her arms while the other looks up while holding the microphone .|12
931|a man in the snow wearing a furry hat and a black jacket with a red scarf|11
932|An old man wearing glasses , a red dress shirt , and black slacks is teaching a class .|12
933|A black woman with a hat on is weighing fruits and vegetables .|1
934|A man wearing a black shirt is looking at a binder on a music stand while playing a guitar .|4
935|A black dog is in the water with something orange in his mouth .|1
936|A woman with a black sweatband is wrapped in a blue , red and yellow blanket and is smoking .|4
937|A group of people gather in a bar , and one man in a black shirt holds his arm and signals to the camera .|14
938|A man with a black shirt holding a yellow skateboard , standing in front of a crowd .|4
939|A woman in a black shirt works at a table selling jewelry .|4
940|The young man in the black shirt is leaning against a chair and appears to be falling asleep .|5
941|An Asian girl wearing a red shirt playing ping-pong with a black paddle .|11
942|two black dogs playing fetch with a red toy|1
943|A black woman and a white woman sitting at a bus stop .|1
944|A lady who has on a white shirt with green pants and black boots , who looks like she 's enjoying the leaves .|12
945|A man in a black coat walking down the street .|4
946|A black dog and a brown dog run along a dirt path .|1
947|A kid in a black cap and light blue shorts playing tennis .|4
948|A man in a white shirt and black leather vest plays an electric guitar .|7
949|Man and woman wearing black walk with arms around each other .|4
950|A lady wearing a black t-shirt is screaming into a microphone as she sings for a band .|4
951|A man in a black jacket walks thorugh an Asian market .|4
952|Two men in black jackets are standing near a fire .|3
953|Several people , one being a woman in a black dress , are outside , near a bike rack .|9
954|Two black and white dogs running in a field .|1
955|A black and white dog is swimming in some water|1
956|A black and white dog is running in grass carrying a big stick .|1
957|A singing group dressed in black is singing a song on stage .|5
958|A woman in black pants napping on the couch .|3
959|Man wearing a black coat walks outside talking on his cellphone .|3
960|A man in a white shirt is talking down a street , looking inside his black bag .|15
961|A black man , dumping a bowl of meat into a grinder in a poor looking country .|1
962|A brown dogs licks its black nose .|5
963|Performer who is wearing 2 hats a scary mask and a black and white robe .|11
964|A person in all black leather sits on their motorcycle .|4
965|A man in a red jumpsuit and black helmet is driving a red go-kart with the number 20 on the steering column .|7
966|A small black dog is playing tug-of-war with a large brown dog wearing a yellow triangle .|2
967|A young boy carrying a big black plastic bag over his shoulder , crossing a dirt road .|6
968|A shirtless black man is pushing a cartload full of goods .|2
969|A young black child wearing a sweater with a pen in his mouth , looking at the camera .|2
970|A boy in a black shirt and beige shorts is riding his skateboard .|4
971|A woman in a black shirt stands amidst a gathering of people .|4
972|A woman in a multicolored top is walking down the street and holding a black purse while talking on her phone .|14
973|A girl in a blue shit with a guy in a black shirt with rolls of brown paper .|11
974|The white and black cat pawed at the piece of fabric .|3
975|A man with a black mustache sits outside in front of a large brown door on a white chair .|4
976|A man in a black and white uniform stands on a motorbike doing a stunt .|4
977|Two dogs , one brown and one black , playing with each other .|7
978|A black and tan dog jumping in the air in a grassy area in front of a fence .|1
979|A skinny black child wearing a torn tan shirt is squatting beside a tiny , muddy pond while digging in the dirt with a small object .|2
980|A large brown dog and a large black and white dog running together|7
981|a woman with a shaved head dressed in black and white in a parade|8
982|One ma in a green shirt and one man in all black are dancing .|11
983|A man in a white shirt , gray pants , holding a black bookbag , waiting for a train along the train platform .|12
984|Woman in red shirt , black shorts and ponytail jogging .|5
985|Two people sit in black folding chairs while everyone else in the crowd stands .|4
986|A football player in a black , white , and orange uniform , is trying to tackle another player in a blue , white , and gold uniform .|5
987|A man with a goatee in a black shirt and white latex gloves is using a tattoo gun to place a tattoo on someone 's back .|7
988|A man in a green beanie stands in a room with black and wood walls .|11
989|A black man is holding is hands to the sky in a city .|1
990|Man wearing black shirt throwing an axe .|2
991|Three black men conversing in formal attire .|1
992|A woman in a black tank top , skirt and boots is looking at jewelry for sale .|4
993|A brown and black dog is rubbing his face in the grass .|3
994|A woman in a black bathing suit holds up a fish .|4
995|Boy in a black shirt standing in front of an advertisement .|3
996|A snowboarder wearing a black and white striped jacket is kicking up some snow .|4
997|A black man with dreadlocks playing the saxaphone .|1
998|A man in black is riding his bike .|3
999|Two surfers are out in the ocean , and one wearing green and black catches a wave .|13
1000|A baseball batter in white pants and a black shirt attempting to hit a baseball with a catcher behind him and an umpire behind the catcher .|8
1001|A man in black bathing trunks dives into water .|3
1002|A slender man wearing black athletic shorts is lifting a heavy weight high above his head .|4
1003|An older man dressed in black and covered in tattoos is playing guitar on stage .|5
1004|Young girl in a white dress and a young man in a black suit are walking down stairs .|12
1005|Drenched black Labrador in the water .|1
1006|A man wearing black is sitting by a lamp post smoking a cigarette .|3
1007|A man wearing a black suit is surrounded by many people inside a building with busts of people on the wall .|4
1008|A person in a black coat jumps through the snow during a snowstorm .|4
1009|A dark-haired woman in a black bra sleeping in the bed with tan sheets and creme blanket with a blond-haired baby in a white and blue shirt .|5
1010|The lady is wearing a black coat , gloves , and boots .|5
1011|The black dog catches something green in its mouth .|1
1012|A white and black dog leaps into water .|3
1013|"Man in black takes a nap on a bench in front of a sign reading "" Justicia sin Olvido . """|2
1014|A black dog jumps through the water .|1
1015|A man wearing black staring at a tree .|3
1016|A black dog looking at a fly .|1
1017|A black dog is swimming through water .|1
1018|Four men in black shirts are sitting a meeting while using their MacBooks|3
1019|A man in a black bathing suit is playing volleyball on a beach with palm trees .|4
1020|A black man is walking down the sidewalk with his hand in his beige pants .|1
1021|A man in black is standing outside a museum and pointing to it .|3
1022|A man in a black shirt is holding a piece of corn over something .|4
1023|A black dog leaps over a log .|1
1024|A black dog is being squirted with a jet of water .|1
1025|A black dog is running quickly along the ground .|1
1026|A guy wearing a black attire is doing ballet in front of the pier where you can see a cruise ship .|4
1027|Seven men in black hats with white gloves and guns held upright .|3
1028|A small black dog is standing on two feet and wearing a pink tutu .|2
1029|A man holding a drink is being hugged by a woman wearing a black shirt .|13
1030|A man , in a plaid shirt , and a younger boy , in a black jacket , working on something .|15
1031|A man rollerblading on a handrail , wearing a black t-shirt and faded jeans .|9
1032|A woman dressed in black and wearing green shoes is squeezing water out of a rag .|4
1033|Two men in black jackets walk down the street .|3
1034|A black dog carefully crosses over some water .|1
1035|A young black person on a bike rides in front of a gate decorated with roosters .|2
1036|An Indian boy looks at a black cow whilst a woman in a blue and green sari looks away .|6
1037|A black man and his dog on the beach .|1
1038|3 women wearing black dresses cross the street .|3
1039|A brown dog is grabbing the collar of a black dog .|9
1040|a young woman hugs a younger boy on a black leather couch|9
1041|a man in a black shirt with a pink bag holding a little girls hand|4
1042|Middle-aged black man lays down to rest in public near a fountain as young girls have lunch .|1
1043|The man is wearing a black shirt and holding up a blue item in a window .|5
1044|A blond girl in a yellow and black jersey plays soccer .|7
1045|a black dog swimming in the water with a tennis ball in his mouth|1
1046|A man wearing a red jacket over a black shirt smokes two cigarettes at once .|8
1047|A person is driving a black two-door sedan down a road next to a freight train 's cars .|5
1048|A blond lady applying black nail polish over the gray nail polish already on her nails , her hand resting on a gold plated table .|4
1049|An older woman in a black dress is standing outside a doorway holding a loaf of bread|5
1050|A young woman with blond-hair in a white shirt and black shorts is about to strike a volleyball .|10
1051|A pair of men from the Vancouver Police , bike pass a black car , a bus , and some people on the street .|12
1052|A brown and black dog rubs his face in the grass .|3
1053|A black and brown dog jumping in midair near a field .|1
1054|A man under the black hood of a camera , standing close to vehicles and an RV .|4
1055|The little girl in the black and red top is holding a long wooden stick .|5
1056|A sleeping man sitting on a black bench .|6
1057|Little girl jumping in the air above sand wearing a blue shirt , black vest , jeans , and shoes .|13
1058|A woman in a black dress stands behind the railing with a camera .|4
1059|A lady in black pants and her shadow , climb large rocks .|3
1060|A woman in a white shirt and black pants hula hoops as a large group of people look on .|7
1061|A man wearing a black shirt is outside walking with a shopping cart .|4
1062|A woman dressed in black and white smokes a cigarette in a grassy area .|4
1063|A man in shorts with two black dogs holds a ball throwing toy at the beach .|6
1064|A woman athlete wearing orange and black is running whilst carrying an orange beverage bottle .|6
1065|Brown dog chasing black dog through snow .|3
1066|A man wearing a black hat opens a newspaper .|4
1067|A kid in black pedaling a bike while a girl stands on the pegs of the bike .|3
1068|A man standing in front of a gate wearing black pants and a red shirt .|9
1069|A woman in a black bikini jumps into the water .|4
1070|a man in a black outfit is riding a blue snowmobile across the snow .|4
1071|A man with black shirt and jeans is nailing something on the top step of a ladder .|3
1072|A black dog jumping into the water|1
1073|A man in a black suit passing by a festive mural .|4
1074|A woman carrying a black and white dog on a sidewalk in front of parallel parked cars .|4
1075|An overweight woman with long black hair in a pink shirt with a name tag is applying lipstick .|5
1076|A group of men and women dressed is formal black dresses and suits holding their music books and singing .|9
1077|a black , brown and white dog running along with a white Frisbee in his mouth .|1
1078|A man dressed in black , paints artwork on the street .|4
1079|A bald young man with a black shirt and jeans playing an electric guitar .|6
1080|A man in a black outfit are tossing up toy balls .|4
1081|A Man in a black coat stands in front of trees with orange leaves .|4
1082|A man in black smokes a cigarette in a basement .|3
1083|A heavyset woman in a red shirt and black shoulder straps balances a blue container filled with goods on top of her head .|8
1084|A girl with white and black shirt and shorts , with orange shoes , throwing a javelin .|5
1085|Man wearing a black and red striped shirt taking a photo next to a lion statue .|3
1086|A person in a black jacket is snowboarding during the evening .|4
1087|Two men , both wearing black shirts are clearing out a yard .|5
1088|A small child in an orange , white and black coat coming down a snowy hill on an innertube .|9
1089|This large black and white dog is running on the sand .|2
1090|A black dog jumps in the snow .|1
1091|A black dog running on the beach|1
1092|A girl dressed in black is posing for the camera .|4
1093|A boy in a white shirt and black shorts is throwing a green Frisbee .|7
1094|A man in a red hat looks confused while looking at a man in a black shirt .|15
1095|A black policeman is smiling at a larger woman|1
1096|A motocross racer in a green and black jumpsuit rides his dirt bike down the dirt road .|7
1097|An Asian man places his black graduation cap on his head .|5
1098|A bearded man in a plaid shirt is sitting at a table wearing large black gloves .|14
1099|A man wearing black and gold is preparing for competition at medieval times event .|3
1100|Two women huddling under an black umbrella while it rains .|5
1101|Man in a black shirt talking to a man in a red baseball cap .|3
1102|a black dog is facing a brown dog in an open outdoor space .|1
1103|Young black boys walk around on sand on a sunny day .|1
1104|Young lady in black swimsuit sits on a beach next to a backpack while brushing her hair .|3
1105|a shirtless man and woman in a black shirt running .|7
1106|A man in a white longsleeve shirt and black pants is walking on the sidewalk .|8
1107|A man in black walking down the sidewalk with cars lined up to the right .|3
1108|A lone red , white , and black race car is being driven by a single driver on a racetrack .|7
1109|A kid in black carrying a cushion .|3
1110|A girl dressed in black with a purse on her arm is smiling at a man in a room with lots of desserts on the table .|4
1111|A black dog walks on the beach near the rocks .|1
1112|A woman wearing a blue shirt looking into a black telescope during the day while a woman in a red shirt stands behind her .|9
1113|Three hockey players on ice , two wearing blue uniform and one in black and yellow .|13
1114|A man is wearing a black backpack and carrying a brown bag .|5
1115|Two men wearing black top hats and fake orange noses are pointing and smiling .|3
1116|A black boy in orange and white trucks on playing in the sand .|1
1117|Two young people riding skateboards pass by in the street as a black dog on a red leash stops in a doorway and squats down on the sidewalk .|12
1118|A black girl in drum line smiling .|1
1119|A woman wearing a baggy dark blue sweater , jeans and black rubber work is standing on a metal platform .|11
1120|A man in a black and white striped shirt sleeps on a concrete bench .|4
1121|The boxer wearing black gloves is kicking the boxer who is wearing gray gloves .|3
1122|Two young males , one in a black t-shirt and the other in a gray t-shirt , are playing kickball in a lake .|7
1123|A man wearing a black t-shirt and glasses is looking through a microscope in a classroom .|4
1124|A woman in black jacket carrier her baby watched by an old man .|3
1125|A woman in a jacket and scarf looking a table that a man in a black shirt is cooking something on .|15
1126|A black dog fetches a large stick out of the water .|1
1127|Librarian in black and a library patron in white thumb through a book .|2
1128|A black and brown dog walks in the shallows of a large body of water .|1
1129|A black dog walks along a rocky beach .|1
1130|A black man and a large , golden dog are on the beach .|1
1131|Two puppies are sitting together next to a bike on black tiled flooring .|10
1132|A black and white dog walks in the snow .|1
1133|A brown and black dog runs over the green grass .|3
1134|A black man with a hat and shades frowning with a yellow taxi in the background .|1
1135|A man holding an unknown blue object sitting on the ground in a black shirt .|13
1136|A black woman watching her baby as it lays on a red blanket .|1
1137|A boy dressed in all black sits on his bike .|5
1138|The brown dog watches as the black dog jumps in the grass .|6
1139|A man with black hair is looking at a plate of watermelons that a woman with brown hair is holding .|3
1140|A black dog plays with a bit of ice by the frozen river .|1
1141|"A man sitting in a racing car with black sunglasses and a look that reads "" I 'm ready to win . """|8
1142|A woman in a black shirt and red apron is preparing food .|4
1143|a man wearing a black shirt and blue shorts falling down a sandy hill with birds at the top of it .|4
1144|A woman in a black shirt is eating .|4
1145|A young woman in a print and black colored top is utilizing flour and other ingredients to bake in the kitchen .|7
1146|A man is wearing a white shirt and a black jacket as well as an ugly mask on his face .|9
1147|A woman wearing a black scarf makes a face as a dog tries to lick her .|4
1148|A small black and white dog in a harness is looking at the camera|2
1149|A black dog running in a grassy fenced in yard .|1
1150|A man in a black jacket reading aloud .|4
1151|Two black dogs run through sand .|1
1152|A black dog and a brown dog are standing next to each other in the snow .|1
1153|a young man with a hairnet over his hair and his mouth wearing a black jacket .|14
1154|A man in a blue sweater , black leather jacket and gray hat is surrounded by people .|7
1155|A woman with black hair and jewelry on her left hand and arm typing on a keyboard .|3
1156|A female with a black scarf and a helmet riding her bike .|4
1157|A flautist in a black shirt and green army hat plays on stage .|4
1158|Two girls dressed in light brown wearing black neckties hold foil pompoms while doing a routine with others .|7
1159|A small black and white dog jumps at a woman in a white jeep while a golden dog follows beside them .|2
1160|Attractive woman in black with her cellphone .|3
1161|"A young woman wearing white shorts , black knee socks and a white shirt with the word "" Legacy "" on it is playing softball ."|7
1162|A young man wearing jeans and a black shirt break-dances for young spectators .|7
1163|Two men walking two black and white dogs along a beach .|4
1164|Woman with red-hair wearing black clothes throwing a rock into water .|4
1165|A man wearing a black hat is smoking a cigarette .|4
1166|A lady in a black shirt and floral patterned skirt is walking next to dryers in a laundry mat .|4
1167|On a mountaintop a climber is seen in the distance , black figure against white snow|11
1168|Two people dressed in black are leaving .|4
1169|a man and a woman are dressed in black coats|8
1170|A young boy with a black shirt and jeans riding a bike on a large bike ramp .|5
1171|The young lady , in the black and blue shirt , is blow drying and brushing her hair , while another woman watches .|6
1172|A man in a black shirt is sitting in a chair .|4
1173|The black dog is running down the grassy knoll to jump in the water below .|1
1174|Man in a black sweater sitting on a mountainside .|3
1175|Guy with black shirt and blue jeans performing tricks in a skateboard|2
1176|One man in black clothing standing atop bricks and rubble .|3
1177|Two brown and black dogs wrestle in the long grass .|3
1178|A middle eastern man wearing black with a white turban laughs as a younger middle eastern man wearing brown and a green and teal turban works .|5
1179|A caucasian female hairdresser trims the hair of a young white man wearing a black drape cover .|14
1180|A black and white dog prepares to catch a Frisbee .|1
1181|The large black dog is running through a grassy area .|2
1182|A black and a brown dog are running toward the camera .|1
1183|A large brown dog is looking at a medium sized black dog .|10
1184|A young boy , dressed in black , jumps in a blue padded playroom .|6
1185|A middle-age man in black suit speaking into the mic , behind brown podium .|4
1186|A black jet in flight is on fire and smoking .|1
1187|a man with a pierced ear is wearing a black shirt .|9
1188|A woman in black spoons food into her mouth from a bowl .|3
1189|A black dog has a blue toy in its mouth .|1
1190|A woman in black clothes walks down a busy sidewalk with a child .|3
1191|A man in black business attire is crossing the street .|3
1192|A person dressed in all black , with an exception of their shoes , white bandanna and white sunglasses stands by a bus stop .|5
1193|An oriental individual is wearing a decorative costume in black and blue with fur on the arms and adorned with metals .|9
1194|A black man in a Hawaiian shirt sits in the dirt .|1
1195|A man , in black tight pants , sits down leaning against the wall of a white building .|4
1196|A black dog crossing a stream|1
1197|A black and white dog is chasing a ping Frisbee .|1
1198|A team of women rollerbladers in black uniforms .|6
1199|A group of people riding double on bicycles carrying black flags .|9
1200|A man wearing a red jacket , black shirt and several necklaces smokes two cigarettes with a peaceful look on his face .|7
1201|Man dressed in black and white holds his tennis racket up waiting for the ball .|3
1202|A young brunette wearing purple and black floral stretch pants is attaching her bike to a finch .|6
1203|A man in a black hat kneeling down to cut a piece of wood .|4
1204|An old lady in a big black coat holds the hand of a young boy in a blue jacket in the subway .|6
1205|A black dog runs across the water at a beach while another follows .|1
1206|"A man drinking water with a black shirt on that reads "" money talks "" ."|6
1207|A man waring a blue plaid shirt talks to another man wearing a black t-shirt while holding a camera on a tripod .|13
1208|A smiling man wearing a black shirt is standing in a room with a television and a table with food and a vase of flowers on top of it .|5
1209|A woman with black hair is typing on a laptop computer .|3
1210|A man in glasses with black frames is eating a burger .|5
1211|A man painted orange in orange pants is standing with a person painted red with black and gray wings .|15
1212|A black male leaning up against a wall with a water bottle .|1
1213|A woman in a black dress with a bun in her hair reaches up on the clothesline in her bathroom for an article of clothing .|4
1214|A boy on a black skateboard going down a ramp with a white building behind him|4
1215|A man dressed in a black t-shirt with a white alien on the front , handing out newspaper propaganda .|5
1216|A man in a black shirt swings his golf club .|4
1217|A black and white dog swimming in the pool|1
1218|A black dog is running through a snow covered area while holding something green in his mouth .|1
1219|A small white and black dog chasing a slightly larger brown dog in a grassy area .|4
1220|Two hockey players wearing yellow and black uniforms skate on the ice .|6
1221|A man in a black shirt enjoys a snack while a woman in a white shirt looks confused .|4
1222|Woman in black coat , jeans and gray hat , with baby stroller , shopping for party decorations at a store .|2
1223|A soccer player in a red shirt kicks the ball while another player in a black shirt tries to stop him .|15
1224|Guy in black uniform dribbling basketball away from guy in white uniform|2
1225|A black and white dog is climbing stairs in the snow .|1
1226|A man wearing a black backpack is walking beside a graffiti filled wall .|4
1227|A woman in a black shirt is putting a spoon into her mouth .|4
1228|A girl in a black coat and red hat riding a red sled down a snowy hill .|4
1229|A black and white dog jumps up towards a yellow toy .|1
1230|Three people in black and white costumes talking on the street .|3
1231|A black dog with a red and white rope dog toy in its mouth , standing in front of a building .|1
1232|A group of people in kilts are playing music while a runner in black runs by .|13
1233|A brown and black dog is jumping through a sprinkler .|3
1234|A man in a black shirt and glasses is slicing a tomato at a kitchen table .|4
1235|A woman wearing black and red is playing a violin in front of a brick building .|3
1236|a skier dressed in black speeds down the mountain .|4
1237|A black dog is chasing two birds on the shore of the ocean .|1
1238|A white dog with black spots jumps over a stream .|4
1239|A girl wearing white polka dots and black boots walks and a woman in a blue outfit hurridly walks behind her .|7
1240|A black dog is running on water .|1
1241|The black and white dog catches the tennis ball in his mouth .|1
1242|A bald , white man , talks with an old , black man , on a bench .|11
1243|A black and white dog is looking at a pink Frisbee on a court .|1
1244|A black and white dog is leaping from a snowy path .|1
1245|Someone sitting still on an orange motorcycle on a crosswalk , wearing a black vest and helmet .|13
1246|A black and a brown dog are fighting .|1
1247|Asian man with black t-shirt works on a laptop .|3
1248|An African-American boy wearing blue shorts , a black and red shirt , and white sneakers , is playing tennis .|8
1249|A black dog and a tan dog fighting .|1
1250|There 's a person wearing a black shirt and is playing bowling .|6
1251|The Obama supporter wears a black jacket and brown hat .|5
1252|A boy in a red hat and black shirt is skateboarding near a red and white striped curb .|7
1253|A woman , wearing red and black biking gear , biking up a hill .|6
1254|An old ban with a black hat and tie walks down a city street .|5
1255|Two men in black jumped with arms raised on a tennis court , as the opposing team in white walk towards the net .|3
1256|a brown and black dog jumping through a hoop of fire|3
1257|A man in a black jacket is touching a grill .|4
1258|A man dressed in black is playing a red guitar .|4
1259|A white dog with black spots is catching a baseball with its mouth .|4
1260|A man in a black wetsuit is surfing on a big wave .|4
1261|A young adult male wearing a black t-shirt and blue jeans , performing a skateboard trick in a urban residential setting .|6
1262|A red , white , black and green flag .|5
1263|Adult , in gray shirt and black shorts , mows lawn while child in hat , striped shirt , and jean shorts , pretends to mow lawn .|6
1264|Two bikers wearing black and red uniforms pedal as they race on the road .|3
1265|A man in white , a man in black with a red headscarf , and a blond woman smoking .|8
1266|A black woman is walking towards a woman wearing a yellow hat .|1
1267|A man is juggling a tennis racket , basketball , and a black ball .|12
1268|A person in black glasses takes a drink from a shot glass .|3
1269|a woman in black dances with someone .|3
1270|A black dog with a gemmed collar is sitting on white carpet .|1
1271|A man , wearing a black shirt and red lanyard , is standing in front of a group of other males .|5
1272|A man dressed in black and a woman in red dancing outside .|4
1273|White dog and black dog going down trail in wooded area|3
1274|Tbe boy in the black t-shirt is jumping his skateboard over a railing near a path .|4
1275|Man in a blue shirt and black vest riding in a rodeo .|6
1276|Two black , wet dogs running on grass .|1
1277|A man in a black shirt , splattered in paint , is taking a picture .|4
1278|A black man walking down a sidewalk .|1
1279|A man in a black jacket looking at a window with coffee pots|4
1280|A black dog bites a white dog on the grass .|1
1281|A man wearing black pants and a white long-sleeved shirt appears to be dancing in the middle of a street .|3
1282|An old woman in a blue sweater and black dress sits on a bench .|8
1283|A man drives a black car in front of several large metal shipping containers .|4
1284|A black dog carrying a stick in its mouth runs through a huge puddle in the grass .|1
1285|The boy in the black and red swimsuit is jumping into the water .|4
1286|A man wearing black is riding a white horse with numerous rocks around him .|3
1287|a group of women holding black umbrellas .|5
1288|An older person is sitting on a red bench next to a black man with a children 's bookstore behind them both .|12
1289|A woman with blond-hair kisses the face of a mixed-race child in a black shirt who 's smiling .|13
1290|A skateboarder in black clothes jumps over a bench .|3
1291|A black and white dog jumps after a yellow toy .|1
1292|A baseball pitcher on the mound in a black , green and white uniform prepares to release his pitch .|8
1293|As part of an audience , a woman in a black top drinks a beer while sitting in a park .|10
1294|A group of young Asian children , dressed in white shirts and black pants , are sitting on a brick-paved surface .|12
1295|A black and white dog is playing with a large brown cow .|1
1296|A person wearing black with a white helmet is going down a mountainside with water below .|3
1297|People in black coats walk slowly through deep snow to approach a bridge in winter .|2
1298|A woman in a black dress is standing in the distance waiting .|4
1299|A brown and black dog laying down and gnawing on the end of a stick .|3
1300|A beige , white and black little dog is bounding towards the camera from the street onto the green grass .|5
1301|The two church officials wear black robes and purple hats .|5
1302|Several people in blue scrubs and one in a skirt and black blouse .|11
1303|A black dog in a red harness jumping .|1
1304|Someone is pulling a big black bag onto a subway .|5
1305|Two men wearing black vests and white shirts and a girl are holding bottles of beer .|3
1306|Two martial artists in black and white robes duel before judges and spectators .|4
1307|A black man stares angrily on the street .|1
1308|The brown and black dog is running through a snowy street .|3
1309|A black and brown dog is playing with a brown and white dog .|1
1310|man in black shirt reading a book .|2
1311|A man in a blue shirt , black jacket , and glasses smiling with his arms crossed .|7
1312|A man in a long black coat looks down as he waits for the train .|5
1313|A group of children gather around a black garbage bag .|7
1314|A man in a black dress is walking near a poster in a platform .|4
1315|A man in a black shirt sits on a chair in front of a table with two monitors , looking through a large pile of papers .|4
1316|Firefighters in black suits walking in Chicago .|2
1317|Young black children playing and drinking from a cup .|1
1318|A man in a black apron cooks up some meat on a grill .|4
1319|A black dog runs through surf on a sandy beach .|1
1320|A woman in a diagonal black and white striped skirt carries her bags toward a building with people sitting and leaning against the steps and railing .|5
1321|A man with brown hair , black jacket and jeans in front of a microphone singing on stage to a crowd of people .|6
1322|A man in a red shirt and black pants is sitting down .|7
1323|Man wearing black is windsurfing .|2
1324|Someone wearing black shirt and shorts and another wearing gray top and jeans skirts are walking their dogs .|2
1325|A small black dog chews on fingers .|2
1326|Two horses greet a man in red pants and a black shirt , while a dog on a leash attempts to jump the fence .|10
1327|The black dog is crouching down in the field behind the ducks .|1
1328|A black and white spotted dog runs along the seaweed and sand .|1
1329|A man wearing a goatee and knit cap is next to a woman with a black umbrella in the foreground of a group of attentive people .|15
1330|A black lady with an orange vest is handing back a card through a checkout window .|1
1331|Man in black shirt riding a bike near a building .|2
1332|A dark black dog is playing with a light brown dog in a backyard .|2
1333|A large man wearing a black shirt and sporting a tattoo on his leg walks along the sidewalk while carrying a water bottle .|5
1334|The black dog is wearing a blue jacket and playing with a toy .|1
1335|Two ballerinas are mirroring two other ballerinas as they perform in front of a black background .|14
1336|Two people in white tops and black aprons .|6
1337|Two men with black suits going up a escalator .|3
1338|The brown dog eats from a bowl on the wooden table as a black dog jumps off .|13
1339|"A black man in a suit is crying at a microphone podium that says "" National Baseball Hall of Fame . """|1
1340|The man in the black shirt is showing the man in the orange shirt something that he has for sale .|4
1341|The muscular black man is dancing while the man behind him wears green beads .|2
1342|A black dong runs across a grassy field|1
1343|A woman in a black bikini enjoys a frolic by the seaside with her zebra shaped balloon .|4
1344|A little girl in a colorful dress and black boots holds a lollipop and plays near a fence .|8
1345|Two women are dressed in black bras and underwear as well as green feathers and walking on the street .|5
1346|a lady is wearing all black with a whistle in the middle of rollerskaters .|5
1347|Girl in tan shirt and black pants jumping in the air .|5
1348|Two guys barbecuing , one in blue shirt bending down , while the other in black shorts stands facing his back to the camera .|15
1349|A young girl in a black swimsuit , white bathing cap , and blue and yellow goggles sits on a blue riser chair .|5
1350|A man in a black beanie and green jacket sits on a rock on a staircase and speaks to two other people .|4
1351|A busy women in black and white color dress is crossing the road .|4
1352|three black dogs and a white dog are standing in the snow .|1
1353|A black dog jumping into a large pool .|1
1354|A man with a black hat is standing and shading his eyes .|4
1355|A woman wearing a black coat and orange scarf standing in a subway station in BismarckstraBe waiting for her train .|4
1356|A man in a black shirt is cooking out of a cookbook in a cluttered kitchen .|4
1357|A man in a black sweater is walking along a railroad track .|4
1358|Naked baby with a pacifier in its mouth is laying next to a brown and black dog .|15
1359|Person on a red , white , and black racing motorcycle .|8
1360|A woman wearing a hooded sweatshirt and black pants with a ponytail playing tennis .|7
1361|Two white and black dogs running in the grass .|3
1362|A man with black hair is talking on a cellphone sitting in a cubicle .|3
1363|A black man painted with gold gets his photo taken by a woman .|1
1364|Two black dogs are playing in a grassy plain .|1
1365|A woman wearing a black fur coat is walking down the street holding an umbrella .|4
1366|There are three women dressed alike in red tops and black shorts jumping up in the air .|10
1367|African American man wearing all black with a white hat prepares food .|5
